t_s,avg_q,old_maxp,new_maxp,old_target_ms,new_target_ms,old_limit,new_limit,reason
0.0,0.9,0.05,0.045,5.0,4.64,1024,954,below_min_th_relax
1.01,2.3,0.04,0.035,4.64,4.72,954,970,below_min_th_relax
2.53,4.5,0.025,0.02,4.72,4.84,970,993,below_min_th_relax
25.73,37.4,0.02,0.03,4.84,4.76,993,977,proportional_increase
33.8,48.3,0.04,0.05,4.76,4.6,977,947,proportional_increase
38.34,53.7,0.05,0.06,4.6,4.52,947,931,proportional_increase
46.92,65.3,0.07,0.08,4.52,4.36,931,901,proportional_increase
50.96,70.4,0.08,0.09,4.36,4.28,901,885,proportional_increase
60.54,81.9,0.1,0.11,4.28,4.12,885,855,proportional_increase
65.09,87.4,0.11,0.12,4.12,4.04,855,839,proportional_increase
75.18,98.6,0.13,0.14,4.04,3.88,839,808,proportional_increase
85.77,109.7,0.15,0.16,3.88,3.72,808,778,proportional_increase
90.82,115.4,0.16,0.17,3.72,3.64,778,762,proportional_increase
100.91,126.7,0.18,0.19,3.64,3.48,762,732,proportional_increase
106.46,132.1,0.19,0.2,3.48,3.4,732,716,proportional_increase
118.06,143.6,0.21,0.22,3.4,3.24,716,686,proportional_increase
124.62,149.2,0.22,0.23,3.24,3.16,686,670,proportional_increase
138.24,160.0,0.24,0.25,3.16,3.0,670,639,proportional_increase
152.36,171.4,0.26,0.27,3.0,2.84,639,609,proportional_increase
159.43,176.9,0.27,0.28,2.84,2.76,609,593,proportional_increase
174.56,188.3,0.29,0.3,2.76,2.6,593,563,proportional_increase
181.12,193.6,0.3,0.31,2.6,2.52,563,547,proportional_increase
200.3,205.2,0.32,0.33,2.52,2.36,547,517,proportional_increase
207.87,210.5,0.33,0.34,2.36,2.28,517,501,proportional_increase
225.02,221.6,0.35,0.36,2.28,2.12,501,471,proportional_increase
235.12,227.5,0.36,0.37,2.12,2.04,471,455,proportional_increase
252.79,238.5,0.38,0.39,2.04,1.88,455,424,proportional_increase
281.04,249.6,0.4,0.41,1.88,1.72,424,394,proportional_increase
296.17,255.3,0.41,0.42,1.72,1.64,394,378,proportional_increase
327.95,266.5,0.43,0.44,1.64,1.48,378,348,proportional_increase
359.74,272.0,0.44,0.45,1.48,1.4,348,332,proportional_increase
458.16,283.2,0.46,0.47,1.4,1.24,332,302,proportional_increase
