t,state,reason,old_target,new_target,old_limit,new_limit
4.04,HEAVY,mult-decrease β=0.90,5.00,4.50,1024,921
7.08,HEAVY,mult-decrease β=0.90,4.50,4.05,921,829
10.12,HEAVY,mult-decrease β=0.90,4.05,3.65,829,746
13.16,HEAVY,mult-decrease β=0.90,3.65,3.28,746,671
16.18,HEAVY,mult-decrease β=0.90,3.28,2.95,671,604
19.22,HEAVY,mult-decrease β=0.90,2.95,2.66,604,544
22.25,HEAVY,mult-decrease β=0.90,2.66,2.39,544,489
25.28,HEAVY,mult-decrease β=0.90,2.39,2.15,489,440
28.30,HEAVY,mult-decrease β=0.90,2.15,1.94,440,396
31.33,HEAVY,mult-decrease β=0.90,1.94,1.74,396,357
34.46,HEAVY,mult-decrease β=0.90,1.74,1.57,357,321
37.55,HEAVY,mult-decrease β=0.90,1.57,1.41,321,289
40.58,HEAVY,mult-decrease β=0.90,1.41,1.27,289,260
43.61,HEAVY,mult-decrease β=0.90,1.27,1.14,260,256
47.14,HEAVY,mult-decrease β=0.90,1.14,1.03,256,256
50.17,HEAVY,mult-decrease β=0.90,1.03,1.00,256,256
53.19,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
56.21,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
59.25,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
62.34,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
65.48,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
68.51,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
71.55,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
74.58,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
77.61,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
80.65,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
83.68,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
86.71,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
89.75,HEAVY,mult-decrease β=0.90,1.00,1.00,256,256
94.30,NORMAL,add-increase α=0.5,1.00,1.50,256,288
97.33,NORMAL,add-increase α=0.5,1.50,2.00,288,320
100.36,NORMAL,add-increase α=0.5,2.00,2.50,320,352
103.39,NORMAL,add-increase α=0.5,2.50,3.00,352,384
106.43,NORMAL,add-increase α=0.5,3.00,3.50,384,416
109.46,NORMAL,add-increase α=0.5,3.50,4.00,416,448
112.64,NORMAL,add-increase α=0.5,4.00,4.50,448,480
115.68,NORMAL,add-increase α=0.5,4.50,5.00,480,512
118.76,NORMAL,add-increase α=0.5,5.00,5.00,512,544
121.82,NORMAL,add-increase α=0.5,5.00,5.00,544,576
124.86,NORMAL,add-increase α=0.5,5.00,5.00,576,608
127.90,NORMAL,add-increase α=0.5,5.00,5.00,608,640
131.15,NORMAL,add-increase α=0.5,5.00,5.00,640,672
134.33,NORMAL,add-increase α=0.5,5.00,5.00,672,704
137.38,NORMAL,add-increase α=0.5,5.00,5.00,704,736
140.42,NORMAL,add-increase α=0.5,5.00,5.00,736,768
143.46,NORMAL,add-increase α=0.5,5.00,5.00,768,800
146.51,NORMAL,add-increase α=0.5,5.00,5.00,800,832
149.56,NORMAL,add-increase α=0.5,5.00,5.00,832,864
152.75,NORMAL,add-increase α=0.5,5.00,5.00,864,896
